file,width,height,aspect_ratio,mean_brightness,contrast_std,pixels
0.jpg,612,1023,0.5982,125.74,45.52,626076
1.jpg,688,1024,0.6719,131.39,65.18,704512
10.jpg,900,1200,0.75,115.12,84.3,1080000
11.jpg,622,768,0.8099,172.76,78.38,477696
12.jpg,768,1024,0.75,119.63,38.57,786432
13.jpg,737,745,0.9893,108.05,36.98,549065
14.jpg,2448,2475,0.9891,146.73,51.41,6058800
15.jpg,750,1000,0.75,152.18,45.7,750000
16.jpg,598,1600,0.3738,176.36,63.76,956800
17.jpg,900,1200,0.75,154.3,20.0,1080000
18.jpg,756,1008,0.75,131.35,65.92,762048
19.jpg,736,981,0.7503,130.92,42.8,722016
2.jpg,482,720,0.6694,158.14,45.94,347040
20.png,433,948,0.4568,223.98,69.95,410484
21.jpg,543,543,1.0,73.72,63.01,294849
3.jpg,720,960,0.75,135.58,51.59,691200
4.jpg,450,600,0.75,165.68,69.52,270000
5.jpg,2268,4032,0.5625,156.42,55.41,9144576
6.JPG,1200,1600,0.75,169.52,47.35,1920000
7.jpg,598,1600,0.3738,176.36,63.76,956800
8.jpg,463,929,0.4984,180.0,49.13,430127
9.jpg,562,1000,0.562,107.63,73.46,562000
X00016469612.jpg,463,1013,0.4571,244.83,35.58,469019
X00016469619.jpg,439,1004,0.4373,248.19,24.13,440756
X00016469620.jpg,459,949,0.4837,241.21,41.32,435591
X00016469622.jpg,461,933,0.4941,245.93,33.47,430113
X00016469623.jpg,463,1026,0.4513,245.96,24.8,475038
X00016469669.jpg,463,605,0.7653,240.56,41.53,280115
X00016469670.jpg,463,894,0.5179,240.53,43.45,413922
X00016469671.jpg,463,776,0.5966,241.8,41.27,359288
X00016469672.jpg,457,1170,0.3906,240.08,44.41,534690
X00016469676.jpg,463,797,0.5809,243.82,37.32,369011
X51005200931.jpg,992,1403,0.7071,250.16,34.77,1391776
X51005200938.jpg,992,1403,0.7071,250.48,33.64,1391776
X51005230605.jpg,616,1336,0.4611,228.69,38.37,822976
